year,week,grid,CPUE
2015,21,484,0.53784
2015,21,485,1.7231715456
2015,21,486,0.8978611765
2015,21,487,0.5107536
2015,21,488,0.46368
2015,21,489,0.36288
2015,21,490,0.4212
2015,21,491,0.72576
2015,21,492,0.54
2015,21,493,0.5396275862
2015,21,494,0.36855
2015,21,495,0.3573818182
2015,22,4,1.2917540323
2015,22,5,1.6125688073
2015,22,6,1.4648366972
2015,22,8,1.2900550459
2015,22,9,1.3496687117
2015,22,10,1.4372494382
2015,22,11,2.2164545455
2015,22,12,1.9522025316
2015,22,25,1.4437840021
2015,22,26,0.6257600894
2015,22,27,0.8044815887
2015,22,28,0.7863543175
2015,22,29,1.5975272727
2015,22,30,1.0151692132
2015,22,31,1.3300539989
2015,22,37,1.0353913043
2015,22,38,1.1714030338
2015,22,39,1.5473380811
2015,22,40,1.0467692308
2015,22,42,1.2501216
2015,22,43,1.0260182125
2015,22,44,0.68796
2015,22,49,0.57672
2015,22,50,1.4663726624
2015,22,51,1.6432372657
2015,22,52,1.5687913723
2015,22,53,1.7173932997
2015,22,54,2.2554696133
2015,22,55,0.4676715328
2015,22,62,1.123584
2015,22,63,1.1969384405
2015,22,64,1.4996142949
2015,22,65,2.3449336273
2015,22,66,2.3507152941
2015,22,67,1.3312094497
2015,22,68,1.177335
2015,22,69,1.0813824
2015,22,74,1.2096
2015,22,75,1.7934040501
2015,22,76,1.32181875
2015,22,77,1.8700162668
2015,22,79,1.4879131721
2015,22,80,1.0436460066
2015,22,81,1.0267650741
2015,22,87,1.27008
2015,22,88,1.0044
2015,22,90,1.06596
2015,22,91,0.7756691127
2015,22,92,0.7545908437
2015,22,100,0.88452
2015,22,101,0.8316867968
2015,22,102,0.5870406495
2015,22,103,0.5812481928
2015,22,107,0.471744
2015,22,108,0.7482314765
2015,22,111,0.4635225
2015,22,112,0.5758952727
2015,22,113,0.4993714286
2015,22,114,0.7524659507
2015,22,119,0.340767
2015,22,120,0.3969
2015,22,121,0.5675154545
2015,22,122,0.68607
2015,22,123,0.4484214352
2015,22,124,0.4156601036
2015,22,125,0.3956329609
2015,22,126,0.4337748252
2015,22,127,0.7491630986
2015,22,132,1.0948965517
2015,22,133,0.4903783784
2015,22,134,0.477792
2015,22,135,1.0253686154
2015,22,136,0.4299470172
2015,22,137,0.6329798948
2015,22,138,0.5419484666
2015,22,139,0.6257864429
2015,22,140,0.7511285106
2015,22,141,0.8674248956
2015,22,148,1.0773
2015,22,149,1.3544112676
2015,22,150,1.512
2015,22,152,0.5988530456
2015,22,153,0.6016453055
2015,22,154,0.7755069819
2015,22,155,0.8273571429
2015,22,156,0.8091675751
2015,22,157,0.8710458091
2015,22,158,0.7862356117
2015,22,159,0.6875397187
2015,22,169,0.9439416
2015,22,170,2.268
2015,22,171,0.7840062486
2015,22,172,0.952153593
2015,22,173,0.7378141058
2015,22,174,0.8531939346
2015,22,175,0.882553608
2015,22,176,0.9881331544
2015,22,177,1.0672941176
2015,22,186,1.9845
2015,22,188,1.26
2015,22,189,0.871209068
2015,22,190,0.6332134228
2015,22,191,1.0695943205
2015,22,192,0.6463027763
2015,22,193,0.7923883817
2015,22,194,0.7420070035
2015,22,195,0.93912
2015,22,212,1.055943
2015,22,213,0.6237
2015,22,224,3.1185
2015,22,301,0.505415261
2015,22,302,0.4121496685
2015,22,303,0.341993798
2015,22,304,0.3404065574
2015,22,305,0.289944084
2015,22,306,0.3117315073
2015,22,307,0.3580457143
2015,22,308,0.412994202
2015,22,309,0.3338407161
2015,22,310,0.5037915978
2015,22,311,0.58845987340000006
2015,22,312,0.3630087888
2015,22,313,0.3434553349
2015,22,314,0.3153255049
2015,22,315,0.3523676749
2015,22,316,0.4170590876
2015,22,317,0.4679375542
2015,22,318,0.35791875
2015,22,319,0.3906147981
2015,22,320,0.3621316224
2015,22,321,0.2638768696
2015,22,322,0.2410240862
2015,22,323,0.6007710522
2015,22,324,0.6165740925
2015,22,325,0.6553756804
2015,22,326,0.6311968685
2015,22,327,0.5189352065
2015,22,328,0.4525971354
2015,22,329,0.4311310432
2015,22,330,0.394048711
2015,22,331,0.6835386067
2015,22,332,0.7097216643
2015,22,333,0.7646964706
2015,22,334,1.0639880123
2015,22,335,1.0811774034
2015,22,336,1.315215976
2015,22,337,0.8320354453
2015,22,338,0.8414886076
2015,22,339,0.6823675934
2015,22,340,0.3923027027
2015,22,341,1.2603101538
2015,22,342,0.688930216
2015,22,343,0.5672180769
2015,22,344,0.5801722894
2015,22,345,1.7145990089
2015,22,346,2.2499550702
2015,22,347,2.0979460103
2015,22,348,0.8723315417
2015,22,349,0.9433661443
2015,22,350,0.8923876197
2015,22,351,0.9029596154
2015,22,352,0.861459534
2015,22,353,1.036317579
2015,22,354,0.9674821042
2015,22,355,0.9099261151
2015,22,356,0.8751574907
2015,22,357,0.7874487227
2015,22,358,0.6037436221
2015,22,359,0.5896476737
2015,22,360,0.7522615281
2015,22,361,0.507761194
2015,22,363,0.8932645161
2015,22,364,0.9178416422
2015,22,365,0.6885
2015,22,367,0.4515192661
2015,22,368,0.671328
2015,22,469,0.5815247944
2015,22,470,0.5305990036
2015,22,471,0.630361989
2015,22,472,0.3656290909
2015,22,473,0.3423048724
2015,22,474,0.4750968974
2015,22,475,0.2803722772
2015,22,476,0.3067403294
2015,22,477,0.3596532049
2015,22,478,0.4552007058
2015,22,479,0.6831574468
2015,22,480,0.4310764138
