lon,lat,grid,POS,PID
-58.939514,46.626988,358,2,27
-60.35221,46.626993,358,3,27
-60.493897,46.627702,358,4,27
-60.50136,46.745083,358,5,27
-60.332773,46.746019,358,6,27
-58.76584,46.746019,358,7,27
-59.536325,47.441738,359,1,27
-58.737285,46.765633,359,2,27
-58.76584,46.746019,359,3,27
-60.332773,46.746019,359,4,27
-60.50136,46.745083,359,5,27
-60.512147,46.797092,359,6,27
-60.346813,46.872965,359,7,27
-60.349719,46.888748,359,8,27
-59.536325,47.441738,359,9,27
-59.645402,47.534032,360,1,27
-59.536325,47.441738,360,2,27
-60.349719,46.888748,360,3,27
-60.346813,46.872965,360,4,27
-60.512147,46.797092,360,5,27
-60.59696,46.903191,360,6,27
-60.390493,47.028579,360,7,27
-60.207657,47.15256,360,8,27
-60.067767,47.15256,360,9,27
-60.067767,47.246459,360,10,27
-60.069184,47.246459,360,11,27
-59.645402,47.534032,360,12,27
-59.999059,47.833278,361,1,27
-59.645402,47.534032,361,2,27
-60.069184,47.246459,361,3,27
-60.215785,47.246459,361,4,27
-60.215785,47.15256,361,5,27
-60.207657,47.15256,361,6,27
-60.390493,47.028579,361,7,27
-60.59696,46.903191,361,8,27
-60.666667,46.978333,361,9,27
-60.749097,47.038284,361,10,27
-59.999059,47.833278,361,11,27
-60.215785,47.246459,362,1,27
-60.067767,47.246459,362,2,27
-60.067767,47.15256,362,3,27
-60.215785,47.15256,362,4,27
-60.507369,46.292629,363,1,27
-60.468268,46.265089,363,2,27
-60.453082,46.254353,363,3,27
-60.425747,46.234966,363,4,27
-60.663811,46.076235,363,5,27
-60.74854,46.069028,363,6,27
-60.901029,45.98475,363,7,27
-61.018757,45.966313,363,8,27
-60.976711,46.085209,363,9,27
-60.610314,46.163773,363,10,27
-60.589053,46.189637,363,11,27
-60.507369,46.292629,363,12,27
-60.74854,46.069028,364,1,27
-60.663811,46.076235,364,2,27
-60.425747,46.234966,364,3,27
-60.342767,46.307114,364,4,27
-60.247611,46.236433,364,5,27
-60.37262,46.13044,364,6,27
-60.768105,45.952633,364,7,27
-60.839428,45.977608,364,8,27
-60.901029,45.98475,364,9,27
-60.74854,46.069028,364,10,27
-60.839428,45.977608,365,1,28
-60.808006,45.958843,365,2,28
-60.791339,45.956898,365,3,28
-60.768105,45.952633,365,4,28
-60.703094,45.936019,365,5,28
-60.720428,45.901657,365,6,28
-60.718938,45.860009,365,7,28
-60.951774,45.804615,365,8,28
-60.955325,45.834461,365,9,28
-60.950572,45.854191,365,10,28
-61.028659,45.870147,365,11,28
-61.018757,45.966313,365,12,28
-60.901029,45.98475,365,13,28
-60.839428,45.977608,365,14,28
-60.720428,45.901657,366,1,28
-60.703094,45.936019,366,2,28
-60.372122,46.052048,366,3,28
-60.331878,46.015212,366,4,28
-60.643029,45.80209,366,5,28
-60.71511,45.808396,366,6,28
-60.718938,45.860009,366,7,28
-60.720428,45.901657,366,8,28
-60.718938,45.860009,367,1,28
-60.71511,45.808396,367,2,28
-60.694689,45.677949,367,3,28
-60.861624,45.656899,367,4,28
-60.874124,45.656899,367,5,28
-60.946369,45.7592,367,6,28
-60.951774,45.804615,367,7,28
-60.718938,45.860009,367,8,28
-60.950572,45.854191,368,1,28
-60.955325,45.834461,368,2,28
-60.951774,45.804615,368,3,28
-60.946369,45.7592,368,4,28
-61.088129,45.672054,368,5,28
-61.181233,45.691433,368,6,28
-61.210064,45.741531,368,7,28
-61.028659,45.870147,368,8,28
-60.950572,45.854191,368,9,28
-61.02893,45.610924,341,1,29
-61.030029,45.592553,341,2,29
-61.043634,45.545654999999996,341,3,29
-61.195908,45.523108,341,4,29
-61.244893,45.514742,341,5,29
-61.342295,45.496576,341,6,29
-61.47128,45.615211,341,7,29
-61.428309,45.636071,341,8,29
-61.403308,45.641627,341,9,29
-61.353906,45.657888,341,10,29
-61.14,45.626975,341,11,29
-61.02893,45.610924,341,12,29
-61.382477,45.411071,342,1,29
-61.342295,45.496576,342,2,29
-61.244893,45.514742,342,3,29
-61.195908,45.523108,342,4,29
-61.043634,45.545654999999996,342,5,29
-60.985532,45.515971,342,6,29
-61.018384,45.466595,342,7,29
-61.018388,45.411069,342,8,29
-61.382477,45.411071,342,9,29
-61.018388,45.411069,343,1,29
-61.018384,45.466595,343,2,29
-60.985532,45.515971,343,3,29
-61.043634,45.545654999999996,343,4,29
-60.891814,45.572687,343,5,29
-60.65798,45.411111,343,6,29
-61.018388,45.411069,343,7,29
-61.02893,45.610924,344,1,29
-61.14,45.626975,344,2,29
-61.088129,45.672054,344,3,29
-60.874124,45.656899,344,4,29
-60.861624,45.656899,344,5,29
-60.694689,45.677949,344,6,29
-60.682452,45.566621,344,7,29
-60.632453,45.411066,344,8,29
-60.657915,45.411066,344,9,29
-60.891814,45.572687,344,10,29
-61.043634,45.545654999999996,344,11,29
-61.030029,45.592553,344,12,29
-61.02893,45.610924,344,13,29
-60.559093,45.746404,345,1,30
-60.49981,45.629538,345,2,30
-60.021789,44.7489,345,3,30
-60.165784,44.666622,345,4,30
-60.632453,45.411066,345,5,30
-60.682452,45.566621,345,6,30
-60.694689,45.677949,345,7,30
-60.559093,45.746404,345,8,30
-60.388017,45.788891,346,1,30
-60.34026,45.692526,346,2,30
-59.873535,44.833611,346,3,30
-60.021789,44.7489,346,4,30
-60.49981,45.629538,346,5,30
-60.559093,45.746404,346,6,30
-60.388017,45.788891,346,7,30
-60.182433,45.783283,347,1,30
-59.699098,44.933283,347,2,30
-59.873535,44.833611,347,3,30
-60.34026,45.692526,347,4,30
-60.388017,45.788891,347,5,30
-60.24221,45.903517,347,6,30
-60.182433,45.783283,347,7,30
-63.263905,44.817697,323,1,32
-63.19979,44.681347,323,2,32
-63.057962,44.41633,323,3,32
-63.415969,44.646763,323,4,32
-63.50978,44.741531,323,5,32
-63.263905,44.817697,323,6,32
-63.11532,44.848865,324,1,32
-63.047313,44.671706,324,2,32
-62.833296,44.271722,324,3,32
-63.057962,44.41633,324,4,32
-63.19979,44.681347,324,5,32
-63.263905,44.817697,324,6,32
-63.11532,44.848865,324,7,32
-62.966735,44.875022,325,1,32
-62.894534,44.72453,325,2,32
-62.55667,44.09367,325,3,32
-62.833296,44.271722,325,4,32
-63.047313,44.671706,325,5,32
-63.11532,44.848865,325,6,32
-62.966735,44.875022,325,7,32
-62.805767,44.918704,326,1,32
-62.737049,44.786499,326,2,32
-62.283744,43.94098,326,3,32
-62.307528,43.933308,326,4,32
-62.55667,44.09367,326,5,32
-62.894534,44.72453,326,6,32
-62.966735,44.875022,326,7,32
-62.805767,44.918704,326,8,32
-62.637724,44.956115,327,1,32
-62.548081,44.786768,327,2,32
-62.122535,43.992979,327,3,32
-62.283744,43.94098,327,4,32
-62.737049,44.786499,327,5,32
-62.805767,44.918704,327,6,32
-62.637724,44.956115,327,7,32
-62.506826,44.997322,328,1,32
-62.42697,44.857648,328,2,32
-61.986374,44.036899,328,3,32
-62.122535,43.992979,328,4,32
-62.548081,44.786768,328,5,32
-62.637724,44.956115,328,6,32
-62.506826,44.997322,328,7,32
-62.372391,45.03602,329,1,32
-62.302751,44.917847,329,2,32
-61.852604,44.080048,329,3,32
-61.986374,44.036899,329,4,32
-62.42697,44.857648,329,5,32
-62.506826,44.997322,329,6,32
-62.372391,45.03602,329,7,32
-62.235303,45.073462,330,1,32
-62.150564,44.954968,330,2,32
-61.5325,44.183301,330,3,32
-61.852604,44.080048,330,4,32
-62.302751,44.917847,330,5,32
-62.372391,45.03602,330,6,32
-62.235303,45.073462,330,7,32
-65.51602,43.496772,301,1,33
-65.513758,43.608172,301,2,33
-65.412145,43.537337,301,3,33
-65.411696,43.479886,301,4,33
-65.370062,43.398142,301,5,33
-65.440472,43.342136000000004,301,6,33
-65.51602,43.496772,301,7,33
-65.613154,43.677462,302,1,33
-65.547023,43.718184,302,2,33
-65.354546,43.575801,302,3,33
-65.340134,43.5376,302,4,33
-65.297083,43.456122,302,5,33
-65.370062,43.398142,302,6,33
-65.411696,43.479886,302,7,33
-65.412145,43.537337,302,8,33
-65.513758,43.608172,302,9,33
-65.613154,43.677462,302,10,33
-65.547023,43.718184,303,1,33
-65.420663,43.760167,303,2,33
-65.369472,43.676274,303,3,33
-65.329279,43.664351,303,4,33
-65.310597,43.663503,303,5,33
-65.300145,43.658077,303,6,33
-65.278406,43.617147,303,7,33
-65.224103,43.514046,303,8,33
-65.297083,43.456122,303,9,33
-65.340134,43.5376,303,10,33
-65.354546,43.575801,303,11,33
-65.547023,43.718184,303,12,33
-65.369472,43.676274,304,1,33
-65.420663,43.760167,304,2,33
-65.308668,43.807641,304,3,33
-65.235181,43.66303,304,4,33
-65.176452,43.551776,304,5,33
-65.224103,43.514046,304,6,33
-65.278406,43.617147,304,7,33
-65.300145,43.658077,304,8,33
-65.310597,43.663503,304,9,33
-65.329279,43.664351,304,10,33
-65.369472,43.676274,304,11,33
-65.308668,43.807641,305,1,33
-65.211606,43.844555,305,2,33
-65.123084,43.762136,305,3,33
-65.139088,43.695683,305,4,33
-65.127521,43.656347,305,5,33
-65.091647,43.589006,305,6,33
-65.176452,43.551776,305,7,33
-65.235181,43.66303,305,8,33
-65.308668,43.807641,305,9,33
-65.211606,43.844555,306,1,33
-65.119877,43.876187,306,2,33
-65.031536,43.697017,306,3,33
-64.996725,43.630631,306,4,33
-65.091647,43.589006,306,5,33
-65.127521,43.656347,306,6,33
-65.139088,43.695683,306,7,33
-65.123084,43.762136,306,8,33
-65.211606,43.844555,306,9,33
-65.119877,43.876187,307,1,33
-65.020682,43.912343,307,2,33
-64.946033,43.767734,307,3,33
-64.897473,43.673982,307,4,33
-64.996725,43.630631,307,5,33
-65.031536,43.697017,307,6,33
-65.119877,43.876187,307,7,33
-65.020682,43.912343,308,1,33
-64.92042,43.959829,308,2,33
-64.788145,43.867497,308,3,33
-64.745138,43.787183,308,4,33
-64.897473,43.673982,308,5,33
-64.946033,43.767734,308,6,33
-65.020682,43.912343,308,7,33
-64.92042,43.959829,309,1,33
-64.797756,44.045813,309,2,33
-64.662979000000007,43.989851,309,3,33
-64.608241,43.888675,309,4,33
-64.745138,43.787183,309,5,33
-64.788145,43.867497,309,6,33
-64.92042,43.959829,309,7,33
-64.797756,44.045813,310,1,33
-64.698558,44.137109,310,2,33
-64.55744,44.069925,310,3,33
-64.502138,43.96713,310,4,33
-64.608241,43.888675,310,5,33
-64.662979000000007,43.989851,310,6,33
-64.797756,44.045813,310,7,33
-64.698558,44.137109,311,1,33
-64.586558,44.251051,311,2,33
-64.441783,44.195674,311,3,33
-64.36354,44.047433,311,4,33
-64.502138,43.96713,311,5,33
-64.55744,44.069925,311,6,33
-64.698558,44.137109,311,7,33
-64.269804,44.266289,312,1,33
-64.203529,44.139885,312,2,33
-64.36354,44.047433,312,3,33
-64.441783,44.195674,312,4,33
-64.586558,44.251051,312,5,33
-64.451093,44.388385,312,6,33
-64.269804,44.266289,312,7,33
-64.451093,44.388385,313,1,33
-64.405227,44.430638,313,2,33
-64.200661,44.347627,313,3,33
-64.113036,44.317525,313,4,33
-64.113034,44.20911,313,5,33
-64.203529,44.139885,313,6,33
-64.269804,44.266289,313,7,33
-64.451093,44.388385,313,8,33
-64.405227,44.430638,314,1,33
-64.402026,44.438943,314,2,33
-64.338483,44.430591,314,3,33
-64.282631,44.430675,314,4,33
-64.26007,44.423564,314,5,33
-64.208003,44.423457,314,6,33
-64.113037,44.39487,314,7,33
-64.113036,44.317525,314,8,33
-64.200661,44.347627,314,9,33
-64.405227,44.430638,314,10,33
-64.402026,44.438943,315,1,33
-64.377487,44.552218,315,2,33
-64.250558,44.640464,315,3,33
-64.105505,44.591223,315,4,33
-64.127391,44.547846,315,5,33
-64.208002,44.489194,315,6,33
-64.208003,44.423457,315,7,33
-64.26007,44.423564,315,8,33
-64.282631,44.430675,315,9,33
-64.338483,44.430591,315,10,33
-64.402026,44.438943,315,11,33
-64.105505,44.591223,316,1,33
-64.07991,44.543612,316,2,33
-64.113039,44.476665,316,3,33
-64.113037,44.39487,316,4,33
-64.208003,44.423457,316,5,33
-64.208002,44.489194,316,6,33
-64.127391,44.547846,316,7,33
-64.105505,44.591223,316,8,33
-64.07991,44.543612,317,1,33
-64.066043,44.553417,317,2,33
-64.006516,44.508395,317,3,33
-63.974314,44.516343,317,4,33
-63.97431,44.315676,317,5,33
-64.113034,44.20911,317,6,33
-64.113036,44.317525,317,7,33
-64.113037,44.39487,317,8,33
-64.113039,44.476665,317,9,33
-64.07991,44.543612,317,10,33
-64.066043,44.553417,318,1,33
-64.07991,44.543612,318,2,33
-64.105505,44.591223,318,3,33
-64.101232,44.689411,318,4,33
-63.831382,44.737483,318,5,33
-63.866592,44.541888,318,6,33
-63.948885,44.522526,318,7,33
-63.974314,44.516343,318,8,33
-64.006516,44.508395,318,9,33
-64.066043,44.553417,318,10,33
-63.974314,44.516343,319,1,33
-63.948885,44.522526,319,2,33
-63.866592,44.541888,319,3,33
-63.773798,44.553125,319,4,33
-63.800065,44.467984,319,5,33
-63.800063,44.315716,319,6,33
-63.97431,44.315676,319,7,33
-63.974314,44.516343,319,8,33
-63.773798,44.553125,320,1,33
-63.62021,44.549951,320,2,33
-63.617014,44.494053,320,3,33
-63.643549,44.433822,320,4,33
-63.643547,44.315766000000004,320,5,33
-63.800063,44.315716,320,6,33
-63.800065,44.467984,320,7,33
-63.773798,44.553125,320,8,33
-63.62021,44.549951,321,1,33
-63.583945,44.554446,321,2,33
-63.51972,44.504209,321,3,33
-63.418533,44.315683,321,4,33
-63.643547,44.315766000000004,321,5,33
-63.643549,44.433822,321,6,33
-63.617014,44.494053,321,7,33
-63.62021,44.549951,321,8,33
-63.583945,44.554446,322,1,33
-63.760988,44.719284,322,2,33
-63.664991,44.782636,322,3,33
-63.50978,44.741531,322,4,33
-63.415969,44.646763,322,5,33
-62.307528,43.933308,322,6,33
-62.999219,43.716648,322,7,33
-63.075967,43.677415,322,8,33
-63.418533,44.315683,322,9,33
-63.51972,44.504209,322,10,33
-63.583945,44.554446,322,11,33
-65.370062,43.398142,469,1,33
-65.184294,43.031932,469,2,33
-65.266528,42.986095,469,3,33
-65.440472,43.342136000000004,469,4,33
-65.370062,43.398142,469,5,33
-65.297083,43.456122,470,1,33
-65.098823,43.079576,470,2,33
-65.184294,43.031932,470,3,33
-65.370062,43.398142,470,4,33
-65.297083,43.456122,470,5,33
-65.224103,43.514046,471,1,33
-65.019546,43.123741,471,2,33
-65.098823,43.079576,471,3,33
-65.297083,43.456122,471,4,33
-65.224103,43.514046,471,5,33
-65.176452,43.551776,472,1,33
-64.965837,43.15362,472,2,33
-65.019546,43.123741,472,3,33
-65.224103,43.514046,472,4,33
-65.176452,43.551776,472,5,33
-65.091647,43.589006,473,1,33
-64.884775,43.19872,473,2,33
-64.965837,43.15362,473,3,33
-65.176452,43.551776,473,4,33
-65.091647,43.589006,473,5,33
-64.996725,43.630631,474,1,33
-64.796897,43.24756,474,2,33
-64.884775,43.19872,474,3,33
-65.091647,43.589006,474,4,33
-64.996725,43.630631,474,5,33
-64.897473,43.673982,475,1,33
-64.703001,43.299692,475,2,33
-64.796897,43.24756,475,3,33
-64.996725,43.630631,475,4,33
-64.897473,43.673982,475,5,33
-64.745138,43.787183,476,1,33
-64.53489,43.392945,476,2,33
-64.703001,43.299692,476,3,33
-64.897473,43.673982,476,4,33
-64.745138,43.787183,476,5,33
-64.608241,43.888675,477,1,33
-64.385846,43.475505,477,2,33
-64.53489,43.392945,477,3,33
-64.745138,43.787183,477,4,33
-64.608241,43.888675,477,5,33
-64.502138,43.96713,478,1,33
-64.272499,43.538202,478,2,33
-64.385846,43.475505,478,3,33
-64.608241,43.888675,478,4,33
-64.502138,43.96713,478,5,33
-64.36354,44.047433,479,1,33
-64.135844,43.613729,479,2,33
-64.272499,43.538202,479,3,33
-64.502138,43.96713,479,4,33
-64.36354,44.047433,479,5,33
-64.203529,44.139885,480,1,33
-63.9743,43.702667,480,2,33
-64.135844,43.613729,480,3,33
-64.36354,44.047433,480,4,33
-64.203529,44.139885,480,5,33
-63.97431,44.315676,481,1,33
-63.9743,43.702667,481,2,33
-64.203529,44.139885,481,3,33
-64.113034,44.20911,481,4,33
-63.97431,44.315676,481,5,33
-63.97431,44.315676,482,1,33
-63.800063,44.315716,482,2,33
-63.800046,43.370357,482,3,33
-63.9743,43.702667,482,4,33
-63.97431,44.315676,482,5,33
-63.800063,44.315716,483,1,33
-63.643547,44.315766000000004,483,2,33
-63.64348,43.387308,483,3,33
-63.799962,43.307316,483,4,33
-63.800063,44.315716,483,5,33
-63.643547,44.315766000000004,484,1,33
-63.418533,44.315683,484,2,33
-63.075967,43.677415,484,3,33
-63.64348,43.387308,484,4,33
-63.643547,44.315766000000004,484,5,33
-65.184294,43.031932,485,1,33
-65.010977,42.688258,485,2,33
-65.215994,42.583455,485,3,33
-65.216,42.916784,485,4,33
-65.232666,42.916783,485,5,33
-65.266528,42.986095,485,6,33
-65.184294,43.031932,485,7,33
-65.184294,43.031932,486,1,33
-65.098823,43.079576,486,2,33
-64.918702,42.735428,486,3,33
-65.010977,42.688258,486,4,33
-65.184294,43.031932,486,5,33
-65.098823,43.079576,487,1,33
-65.019546,43.123741,487,2,33
-64.838576,42.776388,487,3,33
-64.918702,42.735428,487,4,33
-65.098823,43.079576,487,5,33
-65.019546,43.123741,488,1,33
-64.965837,43.15362,488,2,33
-64.782755,42.804922,488,3,33
-64.838576,42.776388,488,4,33
-65.019546,43.123741,488,5,33
-64.965837,43.15362,489,1,33
-64.884775,43.19872,489,2,33
-64.699651,42.847404,489,3,33
-64.782755,42.804922,489,4,33
-64.965837,43.15362,489,5,33
-64.884775,43.19872,490,1,33
-64.796897,43.24756,490,2,33
-64.612501,42.891955,490,3,33
-64.699651,42.847404,490,4,33
-64.884775,43.19872,490,5,33
-64.796897,43.24756,491,1,33
-64.703001,43.299692,491,2,33
-64.517724,42.940404,491,3,33
-64.612501,42.891955,491,4,33
-64.796897,43.24756,491,5,33
-64.703001,43.299692,492,1,33
-64.53489,43.392945,492,2,33
-64.342512,43.02997,492,3,33
-64.517724,42.940404,492,4,33
-64.703001,43.299692,492,5,33
-64.53489,43.392945,493,1,33
-64.385846,43.475505,493,2,33
-64.189395,43.108242,493,3,33
-64.342512,43.02997,493,4,33
-64.53489,43.392945,493,5,33
-64.385846,43.475505,494,1,33
-64.272499,43.538202,494,2,33
-64.074967,43.166737,494,3,33
-64.189395,43.108242,494,4,33
-64.385846,43.475505,494,5,33
-64.272499,43.538202,495,1,33
-64.135844,43.613729,495,2,33
-63.938984,43.236249,495,3,33
-64.074967,43.166737,495,4,33
-64.272499,43.538202,495,5,33
-64.135844,43.613729,496,1,33
-63.9743,43.702667,496,2,33
-63.800046,43.370357,496,3,33
-63.799962,43.307316,496,4,33
-63.938984,43.236249,496,5,33
-64.135844,43.613729,496,6,33
-61.099687,45.311583,337,1,311
-61.032803,45.266762,337,2,311
-60.610178,44.483092,337,3,311
-60.765806,44.433294,337,4,311
-61.192474,45.20996,337,5,311
-61.188134,45.245281,337,6,311
-61.229712,45.316299,337,7,311
-61.099687,45.311583,337,8,311
-61.099687,45.311583,338,1,311
-60.9542,45.300477,338,2,311
-60.563089,45.300424,338,3,311
-60.165784,44.666622,338,4,311
-60.349124,44.566624,338,5,311
-60.610178,44.483092,338,6,311
-61.032803,45.266762,338,7,311
-61.099687,45.311583,338,8,311
-61.077574,45.345852,339,1,311
-61.077574,45.411066,339,2,311
-60.632453,45.411066,339,3,311
-60.563089,45.300424,339,4,311
-60.9542,45.300477,339,5,311
-61.099687,45.311583,339,6,311
-61.077574,45.345852,339,7,311
-61.382477,45.411071,340,1,311
-61.077574,45.411066,340,2,311
-61.077574,45.345852,340,3,311
-61.099687,45.311583,340,4,311
-61.229712,45.316299,340,5,311
-61.561356,45.328329,340,6,311
-61.559576,45.496181,340,7,311
-61.342295,45.496576,340,8,311
-61.382477,45.411071,340,9,311
-62.076103,45.129672,331,1,312
-62.00247,45.017854,331,2,312
-61.595938,44.262505,331,3,312
-62.150564,44.954968,331,4,312
-62.235303,45.073462,331,5,312
-62.076103,45.129672,331,6,312
-61.975276,45.177172,332,1,312
-61.850689,45.036335,332,2,312
-61.412502,44.222428,332,3,312
-61.5325,44.183301,332,4,312
-61.595938,44.262505,332,5,312
-62.00247,45.017854,332,6,312
-62.076103,45.129672,332,7,312
-61.975276,45.177172,332,8,312
-61.858528,45.239688,333,1,312
-61.659805,45.090357,333,2,312
-61.225045,44.283552,333,3,312
-61.412502,44.222428,333,4,312
-61.850689,45.036335,333,5,312
-61.975276,45.177172,333,6,312
-61.858528,45.239688,333,7,312
-61.561356,45.328329,334,1,312
-61.466988,45.149515,334,2,312
-61.033517,44.346003,334,3,312
-61.225045,44.283552,334,4,312
-61.659805,45.090357,334,5,312
-61.858528,45.239688,334,6,312
-61.794846,45.282214,334,7,312
-61.561356,45.328329,334,8,312
-61.561356,45.328329,335,1,312
-61.400399,45.194135,335,2,312
-61.322089,45.188683,335,3,312
-60.892056,44.392128,335,4,312
-61.033517,44.346003,335,5,312
-61.466988,45.149515,335,6,312
-61.561356,45.328329,335,7,312
-61.561356,45.328329,336,1,312
-61.229712,45.316299,336,2,312
-61.188134,45.245281,336,3,312
-61.192474,45.20996,336,4,312
-60.765806,44.433294,336,5,312
-60.892056,44.392128,336,6,312
-61.322089,45.188683,336,7,312
-61.400399,45.194135,336,8,312
-61.561356,45.328329,336,9,312
-66.166667,44.847901,42,1,34
-66.166667,44.833333,42,2,34
-66.207767,44.833333,42,3,34
-66.207721,44.833412,42,4,34
-66.166667,44.847901,42,5,34
-66.166667,44.847901,43,1,34
-66,44.906724,43,2,34
-66,44.833333,43,3,34
-66.166667,44.833333,43,4,34
-66.166667,44.847901,43,5,34
-66,44.906724,44,1,34
-65.924382,44.933412,44,2,34
-65.914381,44.833333,44,3,34
-66,44.833333,44,4,34
-66,44.906724,44,5,34
-66.333333,44.670121,53,1,34
-66.207767,44.833333,53,2,34
-66.166667,44.833333,53,3,34
-66.166667,44.666667,53,4,34
-66.333333,44.666667,53,5,34
-66.333333,44.670121,53,6,34
-66.166667,44.833333,54,1,34
-66,44.833333,54,2,34
-66,44.666667,54,3,34
-66.166667,44.666667,54,4,34
-66.166667,44.833333,54,5,34
-66,44.833333,55,1,34
-65.914381,44.833333,55,2,34
-65.893821,44.627584,55,3,34
-66,44.560816,55,4,34
-66,44.833333,55,5,34
-66.469866,44.5,66,1,34
-66.457726,44.508415,66,2,34
-66.33599,44.666667,66,3,34
-66.333333,44.670121,66,4,34
-66.333333,44.5,66,5,34
-66.469866,44.5,66,6,34
-66.333333,44.666667,67,1,34
-66.166667,44.666667,67,2,34
-66.166667,44.5,67,3,34
-66.333333,44.5,67,4,34
-66.333333,44.666667,67,5,34
-66.166667,44.666667,68,1,34
-66,44.666667,68,2,34
-66,44.560816,68,3,34
-66.075682,44.5,68,4,34
-66.166667,44.5,68,5,34
-66.166667,44.666667,68,6,34
-66,44.560816,69,1,34
-65.893821,44.627584,69,2,34
-65.833333,44.601434,69,3,34
-65.833333,44.5,69,4,34
-66.075682,44.5,69,5,34
-66,44.560816,69,6,34
-66.666667,44.363581,77,1,34
-66.666667,44.333333,77,2,34
-66.710303,44.333333,77,3,34
-66.666667,44.363581,77,4,34
-66.666667,44.363581,78,1,34
-66.5,44.479111,78,2,34
-66.5,44.333333,78,3,34
-66.666667,44.333333,78,4,34
-66.666667,44.363581,78,5,34
-66.5,44.479111,79,1,34
-66.469866,44.5,79,2,34
-66.333333,44.5,79,3,34
-66.333333,44.333333,79,4,34
-66.5,44.333333,79,5,34
-66.5,44.479111,79,6,34
-66.333333,44.5,80,1,34
-66.075682,44.5,80,2,34
-66.166667,44.426887,80,3,34
-66.261387,44.333333,80,4,34
-66.333333,44.262273,80,5,34
-66.333333,44.5,80,6,34
-66.166667,44.426887,81,1,34
-66.075682,44.5,81,2,34
-65.833333,44.5,81,3,34
-65.833333,44.333333,81,4,34
-66.261387,44.333333,81,5,34
-66.166667,44.426887,81,6,34
-66.833333,44.248051,88,1,34
-66.833333,44.166667,88,2,34
-66.950739,44.166667,88,3,34
-66.833333,44.248051,88,4,34
-66.833333,44.248051,89,1,34
-66.710303,44.333333,89,2,34
-66.666667,44.333333,89,3,34
-66.666667,44.166667,89,4,34
-66.833333,44.166667,89,5,34
-66.833333,44.248051,89,6,34
-66.666667,44.333333,90,1,34
-66.5,44.333333,90,2,34
-66.5,44.166667,90,3,34
-66.666667,44.166667,90,4,34
-66.666667,44.333333,90,5,34
-66.5,44.333333,91,1,34
-66.333333,44.333333,91,2,34
-66.333333,44.166667,91,3,34
-66.5,44.166667,91,4,34
-66.5,44.333333,91,5,34
-66.333333,44.262273,92,1,34
-66.261387,44.333333,92,2,34
-66.166667,44.333333,92,3,34
-66,44.333333,92,4,34
-66,44.166667,92,5,34
-66.333333,44.166667,92,6,34
-66.333333,44.262273,92,7,34
-67.191048,44.000089,98,1,34
-67,44.13252,98,2,34
