lon,lat,grid,POS,PID
-59.10718,45.271502,348,1,27
-59.699098,44.933283,348,2,27
-60.182433,45.783283,348,3,27
-60.24221,45.903517,348,4,27
-60.063093,45.934485,348,5,27
-59.985643,45.886339,348,6,27
-59.10718,45.271502,348,7,27
-58.945892,45.363661,349,1,27
-59.10718,45.271502,349,2,27
-59.985643,45.886339,349,3,27
-60.063093,45.934485,349,4,27
-59.969803,45.973452,349,5,27
-59.789343,45.953182,349,6,27
-58.945892,45.363661,349,7,27
-58.737285,46.765633,350,1,27
-57.832355,45.99993,350,2,27
-58.945892,45.363661,350,3,27
-59.789343,45.953182,350,4,27
-59.969803,45.973452,350,5,27
-59.827762,46.013519,350,6,27
-58.939514,46.626988,350,7,27
-58.76584,46.746019,350,8,27
-58.737285,46.765633,350,9,27
-59.308219,46.626993,351,1,27
-58.939514,46.626988,351,2,27
-59.827762,46.013519,351,3,27
-59.969803,45.973452,351,4,27
-60.18977,46.076391,351,5,27
-59.986398,46.154891,351,6,27
-59.937682,46.192988,351,7,27
-59.46802,46.51711,351,8,27
-59.308219,46.626993,351,9,27
-59.636993,46.51711,352,1,27
-59.46802,46.51711,352,2,27
-59.937682,46.192988,352,3,27
-59.986398,46.154891,352,4,27
-60.18977,46.076391,352,5,27
-60.107676,46.237252,352,6,27
-60.039514,46.239416,352,7,27
-59.636993,46.51711,352,8,27
-59.842818,46.51711,353,1,27
-59.636993,46.51711,353,2,27
-60.039514,46.239416,353,3,27
-60.107676,46.237252,353,4,27
-60.18977,46.076391,353,5,27
-60.37262,46.13044,353,6,27
-60.247611,46.236433,353,7,27
-60.223302,46.254669,353,8,27
-59.842818,46.51711,353,9,27
-60.030211,46.51711,354,1,27
-59.842818,46.51711,354,2,27
-60.223302,46.254669,354,3,27
-60.247611,46.236433,354,4,27
-60.342767,46.307114,354,5,27
-60.294227,46.335117,354,6,27
-60.030211,46.51711,354,7,27
-60.294227,46.335117,355,1,27
-60.342767,46.307114,355,2,27
-60.425747,46.234966,355,3,27
-60.507369,46.292629,355,4,27
-60.589053,46.189637,355,5,27
-60.691672,46.237252,355,6,27
-60.540542,46.478768,355,7,27
-60.464771,46.451651,355,8,27
-60.294227,46.335117,355,9,27
-60.516287,46.516632,356,1,27
-60.425048,46.51711,356,2,27
-60.030211,46.51711,356,3,27
-60.294227,46.335117,356,4,27
-60.464771,46.451651,356,5,27
-60.540542,46.478768,356,6,27
-60.516287,46.516632,356,7,27
-60.493897,46.627702,357,1,27
-60.35221,46.626993,357,2,27
-59.308219,46.626993,357,3,27
-59.46802,46.51711,357,4,27
-60.425048,46.51711,357,5,27
-60.516287,46.516632,357,6,27
-60.493897,46.627702,357,7,27
-58.76584,46.746019,358,1,27
